"","N","ps_size","pdf_size","jpeg_size","png_size"
"1",100,8912,5509,93399,84071
"2",200,11235,6276,123098,111886
"3",500,18220,8453,175880,164775
"4",750,24074,10208,200903,186830
"5",1000,29888,11919,216181,202210
"6",1200,34572,13297,218139,203891
"7",1800,48513,17292,219853,209473
"8",3000,76516,25356,174086,175937
"9",5000,123145,38982,113289,122369
"10",8000,193124,59059,71601,78343
"11",10000,239624,72469,62120,65239
"12",12500,297876,89351,57713,60608
"13",15000,356267,106143,57110,59357
"14",18000,426182,126430,56079,58730
"15",22000,519410,153029,55444,57706
"16",23500,554504,163262,55817,57645
"17",25000,589321,173409,55444,57796
"18",50000,1172183,341442,54428,55920
"19",80000,1871254,542962,53589,54839
"20",100100,2339844,677563,53084,54297
"21",120100,2806085,812342,52599,53936
"22",135000,3153296,912292,52502,53552
"23",150000,3503372,1012928,52397,53229
"24",175000,4086086,1180795,52118,53089
"25",195010,4552069,1315617,51890,52664
"26",200100,4670918,1350283,51829,52750
"27",250000,5834286,1684842,51403,52023
"28",300100,7001511,2021457,51112,51608
"29",350000,8165336,2357605,50538,50560
"30",400100,9331545,2693246,50285,50181
"31",450000,10495909,3028671,50183,49657
"32",500100,11664164,3366134,49790,49008
